Feature,Importance
Tenure in Months,0.1599288061399701
Contract_Two Year,0.14429471635434443
Number of Referrals,0.1284145037615125
Monthly Charge,0.12666565382267578
Contract_One Year,0.10153526406773096
Age,0.03880522288341702
Payment Method_Credit Card,0.03667912912533951
Senior Citizen,0.027031787514868007
Number of Dependents,0.026826764451826877
Population,0.01957994489850936
Total Charges,0.01952643645345603
Dependents,0.019153759985958474
Avg Monthly GB Download,0.0168471434248615
Total Revenue,0.016680642924734177
Referred a Friend,0.015971812762249914
Total Long Distance Charges,0.015350884554830765
Paperless Billing,0.014714549513172531
Avg Monthly Long Distance Charges,0.010730216712538912
CLTV,0.00973432871531004
Online Security,0.009220740339484522
Premium Tech Support,0.007954465146596087
Streaming Music,0.006493928713002576
Married,0.005573017127035774
Streaming Movies,0.005233764713804217
Payment Method_Mailed Check,0.0038602942335636695
Total Refunds,0.003386433556006903
Offer_Offer E,0.0027084000365705688
Online Backup,0.0021836450283865693
Total Extra Data Charges,0.0017258689183588312
Internet Type_Fiber Optic,0.0011769691066211335
Streaming TV,0.0006888450350038078
Multiple Lines,0.0006787415184289058
Offer_Offer D,0.00040458955083560506
Internet Type_DSL,0.00023872890899400356
Under 30,0.0
Gender,0.0
Phone Service,0.0
Internet Service,0.0
Unlimited Data,0.0
Device Protection Plan,0.0
Offer_Offer C,0.0
Offer_Offer B,0.0
